graph_dot,graph_g6,executable,method,cr,time,success
graph G {  0; 0 -- 6; 1; 1 -- 4; 2; 2 -- 5; 2 -- 6; 3; 3 -- 5; 3 -- 6; 4; 4 -- 5; 5; 6;},F?O|_,bin/okp-recognition-obj,ilp,0.0,4206694.0,True
graph G {  0; 0 -- 6; 1; 1 -- 4; 2; 2 -- 5; 2 -- 6; 3; 3 -- 5; 3 -- 6; 4; 4 -- 5; 5; 6;},F?O|_,bin/okp-recognition-obj,sat,0.0,83929.0,True
graph G {  0; 0 -- 6; 1; 1 -- 4; 2; 2 -- 5; 2 -- 6; 3; 3 -- 5; 3 -- 6; 4; 4 -- 5; 5; 6;},F?O|_,bin/okp-recognition-obj,dp,0.0,33709.0,True
graph G {  0; 0 -- 6; 1; 1 -- 4; 2; 2 -- 5; 2 -- 6; 3; 3 -- 5; 3 -- 6; 4; 4 -- 5; 5; 6;},F?O|_,bin/okp-recognition-obj --no_bct,ilp,0.0,3088859.0,True
graph G {  0; 0 -- 6; 1; 1 -- 4; 2; 2 -- 5; 2 -- 6; 3; 3 -- 5; 3 -- 6; 4; 4 -- 5; 5; 6;},F?O|_,bin/okp-recognition-obj --no_bct,sat,0.0,122609.0,True
graph G {  0; 0 -- 6; 1; 1 -- 4; 2; 2 -- 5; 2 -- 6; 3; 3 -- 5; 3 -- 6; 4; 4 -- 5; 5; 6;},F?O|_,bin/okp-recognition-obj --no_bct,dp,0.0,79464.0,True
graph G {  0; 0 -- 5; 1; 1 -- 2; 1 -- 3; 1 -- 4; 1 -- 5; 2; 2 -- 3; 2 -- 4; 2 -- 5; 3; 3 -- 4; 3 -- 5; 4; 4 -- 5; 5;},EJ^w,bin/okp-recognition-obj,ilp,2.0,34676628.0,True
graph G {  0; 0 -- 5; 1; 1 -- 2; 1 -- 3; 1 -- 4; 1 -- 5; 2; 2 -- 3; 2 -- 4; 2 -- 5; 3; 3 -- 4; 3 -- 5; 4; 4 -- 5; 5;},EJ^w,bin/okp-recognition-obj,sat,2.0,913962.0,True
graph G {  0; 0 -- 5; 1; 1 -- 2; 1 -- 3; 1 -- 4; 1 -- 5; 2; 2 -- 3; 2 -- 4; 2 -- 5; 3; 3 -- 4; 3 -- 5; 4; 4 -- 5; 5;},EJ^w,bin/okp-recognition-obj,dp,2.0,232468.0,True
graph G {  0; 0 -- 5; 1; 1 -- 2; 1 -- 3; 1 -- 4; 1 -- 5; 2; 2 -- 3; 2 -- 4; 2 -- 5; 3; 3 -- 4; 3 -- 5; 4; 4 -- 5; 5;},EJ^w,bin/okp-recognition-obj --no_bct,ilp,2.0,35957452.0,True
graph G {  0; 0 -- 5; 1; 1 -- 2; 1 -- 3; 1 -- 4; 1 -- 5; 2; 2 -- 3; 2 -- 4; 2 -- 5; 3; 3 -- 4; 3 -- 5; 4; 4 -- 5; 5;},EJ^w,bin/okp-recognition-obj --no_bct,sat,2.0,1559300.0,True
